"Ci","ALEAF","GS","ELEAF","Ac","Aj","Rd","VPD","Tleaf","Ca","PPFD","HF.lai","A.footprint"
244.070818951654,9.62426648171964,0.107752881841979,1.80803334631249,10.5470819919937,14.4931618795631,0.92,1.69472374989807,25,384.3,1500,54.28,522.405184627742
248.605143625917,9.81067523351865,0.109945222224974,1.80904956626194,10.7336370036518,14.6184648252253,0.92,1.66186399458614,25,388.7,1500,54.28,532.523451675392
255.859392211583,10.1052458119922,0.116109231227913,1.78216747334874,11.0284558377942,14.8120080598429,0.92,1.55025498752033,25,392.5,1500,54.28,548.512742674939
256.183353248071,10.1182971135971,0.118535471923519,1.7598815663579,11.0415186568932,14.8204596354742,0.92,1.49953457237538,25,390.2,1500,54.28,549.221167326052
251.932958662508,9.94636069714483,0.11548682133594,1.76957384792311,10.8694341003665,14.7082840076692,0.92,1.5475961375743,25,387.15,1500,54.28,539.888458641022
252.866926912609,9.98427220325289,0.114016271291398,1.7887710096732,10.9073776140549,14.7331747176984,0.92,1.58456218512229,25,390.35,1500,54.28,541.946295192567
250.883346637692,9.90366664063927,0.108416674502391,1.83685133392257,10.82670443073,14.6801463857223,0.92,1.71119420123965,25,394.3,1500,54.28,537.5710252539
251.043435069712,9.91018445791702,0.10696656837996,1.85326825502535,10.8332276555053,14.6844493220564,0.92,1.74989341616224,25,396.5,1500,54.28,537.924812375736
250.539774922266,9.88967114383557,0.105152106382392,1.87050527140363,10.8126973580162,14.6708978535693,0.92,1.79664524954681,25,398.2,1500,54.28,536.811349687395
250.3058948759,9.88013821552195,0.107352593969471,1.8452674225511,10.8031565724302,14.6645912613588,0.92,1.73607365026188,25,394.8,1500,54.28,536.293902338532
248.033216102704,9.7872606124201,0.108351062118484,1.82277290201918,10.71020356878,14.6028477636183,0.92,1.69910713844798,25,389.85,1500,54.28,531.252506042163
243.328672037864,9.59358682376087,0.103752796951979,1.84680291788173,10.5163790148306,14.4723240713952,0.92,1.79780304903382,25,388.5,1500,54.28,520.73989279374
244.032797017713,9.62269585531157,0.105894222197058,1.82750692571067,10.5455101667311,14.4920965906999,0.92,1.74304315823102,25,386.7,1500,54.28,522.319931026312
232.602140226022,9.14474636650225,0.0979697132223688,1.84783941809428,10.0672197658169,14.1602888380419,0.92,1.90499466711627,25,379.15,1500,54.28,496.376832773742
226.721116927886,8.89428302565432,0.0952013272654383,1.84154324435205,9.81659517543626,13.9801096541942,0.92,1.95371086750679,25,373.4,1500,54.28,482.781682632516
220.451818188833,8.62378633321571,0.0921368633233389,1.83404151124291,9.54593625100759,13.7804068178654,0.92,2.01046775366632,25,367.4,1500,54.28,468.099122166949
217.391869276372,8.49042914214384,0.0902148239686296,1.83446755021345,9.41250329842354,13.6799327232315,0.92,2.05377802029505,25,365.15,1500,54.28,460.860493835567
210.618049677684,8.19205425727211,0.0845697017736757,1.85011304396554,9.11396823028546,13.4501265398187,0.92,2.20955511869482,25,362.7,1500,54.28,444.66470508473
218.802155347358,8.55200099691855,0.0926628108054281,1.81654541734946,9.4741097997778,13.7264908128815,0.92,1.97998620544271,25,363.7,1500,54.28,464.202614112739
235.174890743135,9.25333246143835,0.109995986724524,1.73639894840404,10.1758793195612,14.2370332401917,0.92,1.59438811370476,25,367.25,1500,54.28,502.270886006874
237.04264843278,9.33179256147578,0.110608540395599,1.74072505067293,10.2543939068227,14.2919808758095,0.92,1.58950863549196,25,369.5,1500,54.28,506.529700236906
238.499201791317,9.39276372137339,0.108470411625832,1.77018862174033,10.3154082498644,14.3343916197482,0.92,1.64827484395012,25,374.45,1500,54.28,509.839214796148
243.829749362415,9.61430614700855,0.11129945992461,1.77036485893105,10.5371140638284,14.4864034888925,0.92,1.60653835043902,25,379.45,1500,54.28,521.864537659624
248.593945265334,9.81021704376531,0.115064206764811,1.75734621399304,10.733178444492,14.6181595558343,0.92,1.54254717955938,25,382.45,1500,54.28,532.498581135581
